"","TP","Site","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"93","March_2020","SB","Encrusting Montipora",6.55714285714286,2.1,7,8.15533713647227,3.08242770299932
"94","March_2020","SB","Goniopora",0.0714285714285714,0,7,0.111269728052837,0.0420560041253707
"95","March_2020","SB","Other hard coral",0.0714285714285714,0,7,0.125356634105602,0.0473803541479343
"96","March_2020","SB","Plating Acropora",6.34285714285714,8.1,7,6.24549361349369,2.36057470230664
"97","March_2020","SB","Plating Montipora",0.785714285714286,0.1,7,1.43692794000322,0.543107711595552
"98","March_2020","SB","Platygyra",0.928571428571429,0.7,7,0.906852221908814,0.342757922151012
"99","March_2020","SB","Pocilloporidae",4.9,4.4,7,4.08574758561188,1.54426743304452
"100","March_2020","SB","Porites",1.1,0.8,7,1.30639452948436,0.493770719878694
"101","March_2021","CB","Acanthastrea",2.48,0.1,5,4.59641164388047,2.05557777765766
"102","March_2021","CB","Branching Acropora",2.3,0.1,5,3.72558720203943,1.66613324797268
"103","March_2021","CB","Encrusting Montipora",19.92,16.5,5,15.6531785909444,7.00031427865921
"104","March_2021","CB","Goniopora",0.02,0,5,0.0447213595499958,0.02
"105","March_2021","CB","Other hard coral",0.4,0,5,0.73824115301167,0.330151480384384
"106","March_2021","CB","Plating Acropora",8.86,8.2,5,7.21373689567342,3.22608121410482
"107","March_2021","CB","Plating Montipora",2.22,1,5,3.37594431233692,1.50976819412783
"108","March_2021","CB","Platygyra",1.68,0,5,3.64581952378337,1.63046005777511
"109","March_2021","CB","Pocilloporidae",13.84,10.8,5,9.47644448092216,4.23799480886893
"110","March_2021","CB","Porites",0,0,5,0,0
"111","March_2021","EB","Acanthastrea",1.44,0.2,15,2.37480826293709,0.613172856852741
"112","March_2021","EB","Branching Acropora",1.53333333333333,0.7,15,2.12524508390601,0.548735921105144
"113","March_2021","EB","Encrusting Montipora",6.4,3.8,15,7.0820699153365,1.82858258925165
"114","March_2021","EB","Goniopora",0.0933333333333333,0,15,0.157963226582585,0.0407859297245026
"115","March_2021","EB","Other hard coral",0.786666666666667,0,15,1.54127343762352,0.397955090391182
"116","March_2021","EB","Plating Acropora",5.86666666666667,1.5,15,8.65263516150399,2.23410079208758
"117","March_2021","EB","Plating Montipora",5.6,1.4,15,10.0410585668473,2.59259017384619
"118","March_2021","EB","Platygyra",1.16,0.3,15,1.52399850018674,0.393494720724555
"119","March_2021","EB","Pocilloporidae",0.88,0.3,15,1.35235244772106,0.349175900548433
"120","March_2021","EB","Porites",0.713333333333333,0.3,15,1.04735494506513,0.270425883987015
"121","March_2021","SB","Acanthastrea",0.352,0,25,0.983666610188635,0.196733322037727
