"","TP","Transect_group","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"80","April_2022","SB_middle","Other hard coral",1.09090909090909,0,11,2.11776039506576,0.638528784209814
"81","April_2022","SB_west","Branching Acropora",0.228571428571429,0,7,0.453557367611073,0.171428571428571
"82","April_2022","SB_west","Plating Acropora",2.8,0,7,7.36410211770586,2.78336897610483
"83","April_2022","SB_west","Encrusting Montipora",5.05714285714286,4.2,7,3.8896688560241,1.47015663934755
"84","April_2022","SB_west","Plating Montipora",2.21428571428571,1.8,7,2.56152856150943,0.968166792848996
"85","April_2022","SB_west","Pocilloporidae",2.18571428571429,0.2,7,4.17230095248356,1.57698153074135
"86","April_2022","SB_west","Acanthastrea",0.3,0,7,0.793725393319377,0.3
"87","April_2022","SB_west","Goniopora",0.142857142857143,0,7,0.377964473009227,0.142857142857143
"88","April_2022","SB_west","Platygyra",0.885714285714286,0.9,7,0.913653054918498,0.345328395415541
"89","April_2022","SB_west","Porites",0.942857142857143,1,7,0.958918041087876,0.36243695205882
"90","April_2022","SB_west","Other hard coral",1.98571428571429,0,7,4.90999951508096,1.85580537919314
"91","Dec_2022","SB_East","Branching Acropora",0.9,0.2,7,1.3228756555323,0.5
"92","Dec_2022","SB_East","Plating Acropora",4.87142857142857,0.4,7,6.69793855991386,2.53158281804602
"93","Dec_2022","SB_East","Encrusting Montipora",8.67142857142857,5.3,7,10.8126028759213,4.08677974785564
"94","Dec_2022","SB_East","Plating Montipora",5.08571428571429,3.2,7,6.14503283729457,2.32260409797244
"95","Dec_2022","SB_East","Pocilloporidae",2,0.2,7,4.47027217665025,1.68960406745542
"96","Dec_2022","SB_East","Acanthastrea",0.471428571428571,0,7,1.00782651568327,0.380922617884954
"97","Dec_2022","SB_East","Goniopora",0.0571428571428571,0,7,0.113389341902768,0.0428571428571429
"98","Dec_2022","SB_East","Platygyra",0.614285714285714,0,7,1.060547926669,0.400849438204475
"99","Dec_2022","SB_East","Porites",0.328571428571429,0.2,7,0.407080195679286,0.153861851632414
"100","Dec_2022","SB_East","Other hard coral",0.128571428571429,0,7,0.221466970556828,0.0837066468154616
"101","Dec_2022","SB_middle","Branching Acropora",0.14,0,10,0.343834585552737,0.108730042868667
"102","Dec_2022","SB_middle","Plating Acropora",6.09,0,10,18.3526837274552,5.80362817554674
"103","Dec_2022","SB_middle","Encrusting Montipora",4.18,0.8,10,8.35687341853,2.64267541202724
"104","Dec_2022","SB_middle","Plating Montipora",1.31,0,10,2.73188986275476,0.863899428302984
"105","Dec_2022","SB_middle","Pocilloporidae",1.38,0.45,10,1.67185857987783,0.528688103810849
"106","Dec_2022","SB_middle","Acanthastrea",0.29,0,10,0.730981075906438,0.231156512634477
"107","Dec_2022","SB_middle","Goniopora",0.11,0.05,10,0.144913767461894,0.0458257569495584
"108","Dec_2022","SB_middle","Platygyra",0.5,0.25,10,0.590668171555645,0.186785676348292
"109","Dec_2022","SB_middle","Porites",0.77,0.4,10,0.978717982305878,0.309497801105095
"110","Dec_2022","SB_middle","Other hard coral",0.17,0,10,0.309300285590988,0.0978093383408081
"111","Dec_2022","SB_west","Branching Acropora",2.77142857142857,0,7,6.85534202543639,2.59107573594207
"112","Dec_2022","SB_west","Plating Acropora",7.85714285714286,0.4,7,13.4541018705396,5.08517252331096
"113","Dec_2022","SB_west","Encrusting Montipora",8.55714285714286,4.3,7,10.7419515829073,4.06007606912418
"114","Dec_2022","SB_west","Plating Montipora",5.51428571428571,4.1,7,6.045777747439,2.28508920024169
"115","Dec_2022","SB_west","Pocilloporidae",6.84285714285714,8.9,7,6.47761713977631,2.44830914859109
"116","Dec_2022","SB_west","Acanthastrea",0,0,7,0,0
